row_id,feedback
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,Cleanup Enrollment Images
id_3,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_2,Cleanup Enrollment Images
id_3,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,GTIN Incorrectly labeled
id_1,Model Error
id_3,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,Model Error
id_2,GTIN Incorrectly labeled
id_3,GTIN Incorrectly labeled
id_4,Cleanup Enrollment Images
id_5,Cleanup Enrollment Images
id_6,GTIN Incorrectly labeled
id_7,Cleanup Enrollment Images
id_4,Cleanup Enrollment Images
id_5,Cleanup Enrollment Images
id_6,GTIN Incorrectly labeled
id_7,Cleanup Enrollment Images
id_8,Cleanup Enrollment Images
id_9,Cleanup Enrollment Images
id_10,GTIN Incorrectly labeled
id_11,GTIN Incorrectly labeled
id_0,Multiple Items
id_1,Multiple Items
id_2,Multiple Items
id_3,Cleanup Enrollment Images
id_0,Multiple Items
id_2,Multiple Items
id_1,Multiple Items
id_3,Cleanup Enrollment Images
id_4,Cleanup Enrollment Images
id_5,Model Error
id_6,Model Error
id_7,Model Error
id_4,Cleanup Enrollment Images
id_5,Model Error
id_6,Model Error
id_7,Model Error
id_8,Multiple Items
id_9,Cleanup Enrollment Images
id_10,GTIN Incorrectly labeled
id_11,Cleanup Enrollment Images
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,Model Error
id_3,Cleanup Enrollment Images
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,Model Error
id_3,Cleanup Enrollment Images
id_4,Cleanup Enrollment Images
id_5,Model Error
id_6,Cleanup Enrollment Images
id_7,GTIN Incorrectly labeled
id_4,Cleanup Enrollment Images
id_5,Model Error
id_7,GTIN Incorrectly labeled
id_6,Cleanup Enrollment Images
id_8,Multiple Items
id_9,Model Error
id_10,Model Error
id_11,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,Model Error
id_2,GTIN Incorrectly labeled
id_3,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_2,GTIN Incorrectly labeled
id_3,GTIN Incorrectly labeled
id_1,Model Error
id_4,GTIN Incorrectly labeled
id_5,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,Cleanup Enrollment Images
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,Cleanup Enrollment Images
