row_id,feedback
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,Cleanup Enrollment Images
id_3,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_2,Cleanup Enrollment Images
id_3,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,GTIN Incorrectly labeled
id_1,Model Error
id_3,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,Model Error
id_2,GTIN Incorrectly labeled
id_3,GTIN Incorrectly labeled
id_4,Cleanup Enrollment Images
id_5,Cleanup Enrollment Images
id_6,GTIN Incorrectly labeled
id_7,Cleanup Enrollment Images
id_4,Cleanup Enrollment Images
id_5,Cleanup Enrollment Images
id_6,GTIN Incorrectly labeled
id_7,Cleanup Enrollment Images
id_8,Cleanup Enrollment Images
id_9,Cleanup Enrollment Images
id_10,GTIN Incorrectly labeled
id_11,GTIN Incorrectly labeled
id_0,Multiple Items
id_1,Multiple Items
id_2,Multiple Items
id_3,Cleanup Enrollment Images
id_0,Multiple Items
id_2,Multiple Items
id_1,Multiple Items
id_3,Cleanup Enrollment Images
id_4,Cleanup Enrollment Images
id_5,Model Error
id_6,Model Error
id_7,Model Error
id_4,Cleanup Enrollment Images
id_5,Model Error
id_6,Model Error
id_7,Model Error
id_8,Multiple Items
id_9,Cleanup Enrollment Images
id_10,GTIN Incorrectly labeled
id_11,Cleanup Enrollment Images
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,Model Error
id_3,Cleanup Enrollment Images
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,Model Error
id_3,Cleanup Enrollment Images
id_4,Cleanup Enrollment Images
id_5,Model Error
id_6,Cleanup Enrollment Images
id_7,GTIN Incorrectly labeled
id_4,Cleanup Enrollment Images
id_5,Model Error
id_7,GTIN Incorrectly labeled
id_6,Cleanup Enrollment Images
id_8,Multiple Items
id_9,Model Error
id_10,Model Error
id_11,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,Model Error
id_2,GTIN Incorrectly labeled
id_3,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_2,GTIN Incorrectly labeled
id_3,GTIN Incorrectly labeled
id_1,Model Error
id_4,GTIN Incorrectly labeled
id_5,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,Cleanup Enrollment Images
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,Cleanup Enrollment Images
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,GTIN Incorrectly labeled
id_3,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_0,GTIN Incorrectly labeled
id_1,GTIN Incorrectly labeled
id_2,Cleanup Enrollment Images
id_2,Cleanup Enrollment Images
id_2,Cleanup Enrollment Images
id_4,Cleanup Enrollment Images
id_6,Cleanup Enrollment Images
id_4,Cleanup Enrollment Images
id_6,Cleanup Enrollment Images
id_9,Model Error
id_11,GTIN Incorrectly labeled
id_9,Model Error
id_11,GTIN Incorrectly labeled
id_12,Model Error
id_13,Model Error
id_15,GTIN Incorrectly labeled
id_12,Model Error
id_15,GTIN Incorrectly labeled
id_13,Model Error
id_16,GTIN Incorrectly labeled
id_17,GTIN Incorrectly labeled
id_18,GTIN Incorrectly labeled
id_19,GTIN Incorrectly labeled
id_2,Multiple Items
id_3,Multiple Items
id_2,Multiple Items
id_3,Multiple Items
id_4,Multiple Items
id_5,Model Error
id_6,Multiple Items
id_7,Multiple Items
id_4,Multiple Items
id_5,Model Error
id_6,Multiple Items
id_7,Multiple Items
id_9,Multiple Items
id_10,Multiple Items
id_11,Multiple Items
id_10,Multiple Items
id_9,Multiple Items
id_11,Multiple Items
id_13,Multiple Items
id_15,Multiple Items
id_14,Multiple Items
